Venue,Published Venue Hire / Package (GBP),Per_Head/Menu From (GBP),Package Name/Type,Pricing Notes,Pricing Source URL(s),Region/Country,Style,Why it fits RL winter brief,Seated Dinner Capacity,Evening/Reception Capacity,Exclusive Use?,Bedrooms Onsite,Nearest Airports,Winter Notes,Website,Comments,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Published Venue Hire / Package (USD),Per_Head/Menu From (USD)
"Hever Castle, Kent, England",Facility fees vary by Astor Wing / Italian Garden / Castle (see 2025 PDFs).,Catering from £84 pp; drinks from £48.50 pp (2025).,"Venue options: Astor Wing, Italian Garden Loggia, Castle",Winter offers advertised for 2025.,https://www.hevercastle.co.uk/weddings/,"Kent, England",Medieval castle with Tudor suites,Historic Great Hall; intimate library_adjacent rooms for cocktails.,Great Hall 40 | Tudor Suite 60,Moat Restaurant 120 | Guthrie Pavilion 220,By space; exclusive options,Astor Wing bedrooms,LGW (~40–55 min),Strong indoor ceremony/dinner sequence.,https://www.hevercastle.co.uk/weddings/castle-weddings/,too castely,,,,,2571.75,106.68
"Holkham Hall, Norfolk, England","Winter (Jan–Mar) from £8,500–£9,500; Summer weekend from £11,750; Christmas £13,000–£13,500 (hire).",,Venue hire only; preferred caterers,Lady Elizabeth Wing for dinner/dancing; marquee sites available.,https://www.holkham.co.uk/wedding-venue-hire/,"Norfolk, England",Palladian hall & state rooms,"Statue Gallery, Saloon and State Dining Rooms—formal, elegant interiors.",Up to ~170 (by room),By room,By house hire,Estate cottages nearby,NWI; STN,All_indoor route via state rooms.,https://www.holkham.co.uk/wedding-venue-hire/,,,,,,10795.0,
"Kinross House, Perth & Kinross, Scotland","POA (exclusive_use estate). Historic ref ~£34,000 weekend (2019, third_party) — treat as outdated.",,Exclusive_use; Coach House available,Request formal quote for current rates.,https://www.kinrosshouse.com/,"Perth & Kinross, Scotland",17th_century neoclassical house on Loch Leven,"Regal, immaculate interiors; 100_acre estate; ~40 mins from Edinburgh.",Intimate house scale (see site),By layout,Yes,House & Coach House (estate lodging),EDI (~40–50 min),Fireside salons; high_touch service.,https://www.kinrosshouse.com/private-events/exclusive-hire/,,,,,,43180.0,
"Kirtlington Park, Oxfordshire, England","Weddings start at £12,000 (dry hire; exclusive use).",,Dry hire; preferred caterers; no corkage.,13 bedrooms; seated up to 110 in_house; marquees for larger.,https://kirtlingtonpark.co.uk/oxfordshire-wedding-venue/,"Oxfordshire, England",Grade I Palladian house,Elegant salons for cocktail hour; classic English country aesthetic.,House max seated 110,110 indoors; marquee for 200+,Yes (house),Select rooms + nearby,LHR (~60 min),Free corkage noted; transparent pricing.,https://kirtlingtonpark.co.uk/oxfordshire-wedding-venue/,,,,,,15240.0,
"Knebworth House, Hertfordshire, England",POA,,Bespoke (POA),Contact venue for tariff.,https://knebworthhouseandbarns.com/weddings-at-knebworth/,"Hertfordshire, England",Gothic stately home with barns,Historic house ceremony rooms + heated barns for dinner/dancing.,Barns 50–150; House rooms smaller,Up to ~300 (barns),By area,Nearby hotels,LTN/LHR,House for ceremony; barns for winter_proof party.,https://knebworthhouseandbarns.com/weddings-at-knebworth/,,,,,,,
"Leeds Castle, Kent, England","2025 Castle: Off_peak M_Th £7,000; Fri/Sun £12,000; Sat £16,500. Peak M_Th £9,000; Fri/Sun £13,500; Sat £18,500.",,Includes bedrooms on peak & off_peak (see brochure).,"Fairfax Barn add_on for up to 200 guests from £5,500 incl. 15 bedrooms.",https://leeds-castle.com/wedding/,"Kent, England",‘Castle on an island’ with Great Hall / Fairfax Hall,Story_book interiors; Great Hall for ceremonies and winter portraits.,Castle up to ~100; Fairfax Barn larger,Up to 200 (Fairfax Barn),By venue (Castle / Maiden’s Tower / Barn),Manor House & cottages on estate,LGW (~60–70 min),All_indoor option via Great Hall / Fairfax Hall paths.,https://leeds-castle.com/wedding/,,,,,,2571.75,
"St Giles House, Dorset, England","2025: Thu £24,500; Fri/Sat £26,500 (includes 2 nights for up to 26).",,Exclusive_use country house; complimentary corkage until end of wedding breakfast.,Late extensions available to 2am (fee).,https://stgileshouse.co.uk/,"Dorset, England",Restored stately home with private nightclub,Decadent salons by day; after_party in award_winning basement club.,Up to 120 (principal rooms),120+; late_night club,Yes,Estate cottages / rooms,"BOH, SOU",All_indoor party flow with sound_proofed club.,https://stgilesdorset.com/weddings/,bookcase dining room,,,,,2571.75,
"Sudeley Castle, Gloucestershire, England",POA,,Bespoke (POA),Contact venue for tariff.,https://sudeleycastle.co.uk/weddings/,"Gloucestershire (Cotswolds), England","Castle with library, Orangery & Coach House",Richly decorated library for intimate civil ceremonies; Orangery for dinner.,Up to ~150 (Orangery),150+ (Coach House),By venue/areas,Cottages nearby,BHX/BRS,Indoor library + Orangery suits winter formats.,https://sudeleycastle.co.uk/weddings,,,,,,,
"Thirlestane Castle, Scottish Borders, Scotland","Venue hire from ~£10,000 (guide); winter weekend exclusive_use from ~£19,550 (third_party).",Classic wedding min 80 from ~£180 pp (guide),Exclusive_use; marquee options,Apartments on site; State Rooms and library.,https://thirlestanecastle.co.uk/celebrate/weddings/,"Scottish Borders, Scotland",16th_century castle; dramatic state rooms,"Bespoke, exclusive_use castle; scalable from intimate to grand.",From intimate up to 200+ (package dependent),2 to 1000 (estate scale),Yes,Castle suites + woodland lodges,EDI (~50–60 min),Indoor state rooms + vaulted cellar for dancing.,https://thirlestanecastle.co.uk/celebrate/weddings/,,,,,,12700.0,101.6
"Waddesdon Manor, Buckinghamshire, England","2025 dry-hire: Off_peak M_Th £5,000; Fri/Sun £7,000; Sat £9,000. Peak M_Th £7,500; Fri/Sun £10,000; Sat £13,400.",Catering from £168 pp (guide),Dry hire + in_house catering packages,Rates are for The Dairy; The Manor differs (POA).,https://www.waddesdonenterprises.co.uk/weddings,"Buckinghamshire, England",Rothschild French Renaissance_style château & waterside Dairy,Opulent salons and curated estate; serious hospitality lineage.,The Manor: up to 1000 incl. grounds (per brochure),Large; see brochure,Yes (by venue),Estate cottages nearby,LHR (~55–70 min),Indoor salons; estate art/follies for portraits.,https://www.waddesdonenterprises.co.uk/waddesdon-weddings,love,,,,,2571.75,213.36
"Wrotham Park, Hertfordshire, England",POA,,Bespoke (POA),Contact venue for tariff.,http://wrothampark.com/,"Hertfordshire, England",Private Palladian mansion on 300 acres,Drawing rooms for reception; marquee options to scale grand dinners.,By arrangement (house),Scalable with marquee,Yes (private estate),Private (enquire),LHR/LTN,Winter_proof via house for cocktails + heated marquee if scaling.,https://www.wrothampark.com/,,,,,,,
